Timestamp,AbsTime,Recording,Clase_YAMNet,Probabilidad,TopIndex,loudness_sones,sharpness_acum,roughness_asper,tonality_tnr_db,tonality_pr_db,lat,lon,alt,gps_error_s,gps_source
174.0,174.0,Simon-bolivar_panaderia,Vehicle,0.2374255210161209,294,8.367,1.090222874541987,0.0990964189803016,0.0,0.0,-33.448757,-70.605144,592.8,0.0,interpolated
177.0,177.0,Simon-bolivar_panaderia,Vehicle,0.4756303131580353,294,10.741,1.195342498645069,0.0554531366947392,0.0,0.0,-33.448742,-70.605078,592.9,0.0,interpolated
180.0,180.0,Simon-bolivar_panaderia,Vehicle,0.6024746894836426,294,12.841,1.2046816842458417,0.04454876195421,0.0,0.0,-33.44874,-70.605013,593.0,0.0,interpolated
183.0,183.0,Simon-bolivar_panaderia,Vehicle,0.3844140470027923,294,9.602,1.2101165381610115,0.0577388660835551,0.0,0.0,-33.448724,-70.604983,593.0,0.0,interpolated
186.0,186.0,Simon-bolivar_panaderia,Vehicle,0.1744353175163269,294,8.507,1.22922731481145,0.1807594508449408,0.0,0.0,-33.448722,-70.604956,593.0,0.0,interpolated
189.0,189.0,Simon-bolivar_panaderia,Fire,0.1019459068775177,292,12.458,1.1713848374459217,0.3486773081913558,0.0,0.0,-33.448709,-70.604896,593.1,0.0,interpolated
192.0,192.0,Simon-bolivar_panaderia,"Outside, urban or manmade",0.1661517024040222,503,12.862,1.1653787183415525,0.2366840327146579,0.0,0.0,-33.448704,-70.604822,593.2,0.0,interpolated
195.0,195.0,Simon-bolivar_panaderia,Vehicle,0.2709913551807403,294,11.134,1.2061541818038626,0.1077360705183272,0.0,0.0,-33.448686,-70.604756,593.2,0.0,interpolated
198.0,198.0,Simon-bolivar_panaderia,Vehicle,0.3293266594409942,294,11.739,1.0886852057664786,0.0484727181772494,0.0,0.0,-33.448672,-70.604665,593.4,0.0,interpolated
201.0,201.0,Simon-bolivar_panaderia,Vehicle,0.1866099238395691,294,10.779,1.1338160094373366,0.0823219532324809,0.0,0.0,-33.448663,-70.604615,593.5,0.0,interpolated
204.0,204.0,Simon-bolivar_panaderia,Vehicle,0.1360928267240524,294,13.209,1.094240950759185,0.3892480131496828,0.0,0.0,-33.448656,-70.60452,593.6,0.0,interpolated
207.0,207.0,Simon-bolivar_panaderia,Vehicle,0.3058850169181824,294,10.757,1.2073796379385997,0.0659809991155263,0.0,0.0,-33.448653,-70.604451,593.7,0.0,interpolated
210.0,210.0,Simon-bolivar_panaderia,Vehicle,0.2895202934741974,294,12.161,1.2194509414682384,0.0464869221121417,0.0,0.0,-33.448644,-70.604366,593.8,0.0,interpolated
213.0,213.0,Simon-bolivar_panaderia,Vehicle,0.2421914190053939,294,7.994,1.151204321841367,0.046675902649666,0.0,0.0,-33.448629,-70.604301,593.9,0.0,interpolated
216.0,216.0,Simon-bolivar_panaderia,"Outside, urban or manmade",0.2486873120069503,503,6.9,1.2337312644755518,0.0612422695210136,0.0,0.0,-33.448619,-70.604225,594.0,0.0,interpolated
219.0,219.0,Simon-bolivar_panaderia,Vehicle,0.1615367978811264,294,7.363,1.236274947605813,0.0819757143062537,0.0,0.0,-33.44861,-70.604163,594.1,0.0,interpolated
222.0,222.0,Simon-bolivar_panaderia,Vehicle,0.292111337184906,294,8.548,1.2082310014726267,0.0500745766354692,0.0,0.0,-33.448594,-70.604088,594.1,0.0,interpolated
225.0,225.0,Simon-bolivar_panaderia,Speech,0.2688430845737457,0,8.431,1.1919025785728372,0.0737283911437998,0.0,0.0,-33.448587,-70.604025,594.2,0.0,interpolated
228.0,228.0,Simon-bolivar_panaderia,Vehicle,0.2333091050386428,294,6.794,1.119978790019077,0.0458598661571194,0.0,10.75546757725408,-33.448578,-70.603915,594.3,0.0,interpolated
231.0,231.0,Simon-bolivar_panaderia,Vehicle,0.4617134034633636,294,5.652,1.099507362473646,0.0274652291924446,0.0,0.0,-33.44857,-70.603825,594.3,0.0,interpolated
234.0,234.0,Simon-bolivar_panaderia,Speech,0.3821050226688385,0,6.287,1.1523697932121233,0.2016534452564018,0.0,0.0,-33.448564,-70.603776,594.3,0.0,interpolated
237.0,237.0,Simon-bolivar_panaderia,Vehicle,0.531949520111084,294,8.966,1.0862891304936797,0.0736913019090051,0.0,0.0,-33.448555,-70.603695,594.4,0.0,interpolated
